Date,Open,High,Low,Close,Adj Close,Volume
2013-02-28,null,null,null,null,null,null
2013-03-31,4966.500000,5195.100098,4883.700195,5191.200195,5191.200195,0
2013-04-30,5187.299805,5249.600098,4897.899902,4926.600098,4926.600098,0
2013-05-31,4926.600098,4933.299805,4632.299805,4802.600098,4802.600098,0
2013-06-30,4802.600098,5098.500000,4702.700195,5052.000000,5052.000000,1865233300
2013-07-31,5052.000000,5168.200195,5007.899902,5135.000000,5135.000000,14908995700
2013-08-31,5135.000000,5314.299805,5115.100098,5218.899902,5218.899902,13116631400
2013-09-30,5218.899902,5457.299805,5118.899902,5425.500000,5425.500000,11780332000
2013-10-31,5425.500000,5439.200195,5284.899902,5320.100098,5320.100098,12456130500
2013-11-30,5320.000000,5367.399902,5028.200195,5352.200195,5352.200195,12429034100
2013-12-31,5352.200195,5383.399902,5158.899902,5190.000000,5190.000000,10311319900
2014-01-31,5190.000000,5461.700195,5052.200195,5404.799805,5404.799805,13687120100
2014-02-28,5404.799805,5462.299805,5288.500000,5394.799805,5394.799805,14158084700
2014-03-31,5394.799805,5554.500000,5350.500000,5489.100098,5489.100098,10542203800
2014-04-30,5489.100098,5541.700195,5372.100098,5492.500000,5492.500000,12366125900
2014-05-31,5484.100098,5526.000000,5373.600098,5395.700195,5395.700195,12425325500
2014-06-30,5395.700195,5644.200195,5370.899902,5632.899902,5632.899902,12091375200
2014-07-31,5632.899902,5679.500000,5425.200195,5625.899902,5625.899902,12626403300
2014-08-31,5625.899902,5672.700195,5253.100098,5292.799805,5292.799805,13019887900
2014-09-30,5292.799805,5526.600098,5122.000000,5526.600098,5526.600098,14411483800
2014-10-31,5526.600098,5550.299805,5292.899902,5313.000000,5313.000000,10931439900
2014-11-30,5313.000000,5486.700195,5142.799805,5411.000000,5411.000000,5345819700
2014-12-31,5411.000000,5619.500000,5267.399902,5588.299805,5588.299805,0
2015-01-31,5588.299805,5955.500000,5588.299805,5928.799805,5928.799805,0
2015-02-28,5928.799805,5996.899902,5748.700195,5891.500000,5891.500000,0
2015-03-31,5891.500000,5996.399902,5749.899902,5790.000000,5790.000000,0
2015-04-30,5790.000000,5901.799805,5574.600098,5777.200195,5777.200195,0
2015-05-31,5777.200195,5777.200195,5390.500000,5459.000000,5459.000000,0
2015-06-30,5459.000000,5718.899902,5383.700195,5699.200195,5699.200195,0
2015-07-31,5699.200195,5727.700195,4928.299805,5207.000000,5207.000000,0
2015-08-31,5207.000000,5221.100098,4918.399902,5021.600098,5021.600098,760640100
2015-09-30,5021.700195,5384.799805,5021.700195,5239.399902,5239.399902,0
2015-10-31,5239.399902,5313.700195,4979.200195,5166.500000,5166.500000,0
2015-11-30,5166.500000,5325.799805,4909.600098,5295.899902,5295.899902,0
2015-12-31,5295.899902,5331.399902,4803.899902,5005.500000,5005.500000,0
2016-01-31,5005.500000,5073.000000,4706.700195,4880.899902,4880.899902,0
2016-02-29,4880.899902,5216.200195,4868.100098,5082.799805,5082.799805,0
2016-03-31,5082.799805,5281.600098,4893.500000,5252.200195,5252.200195,0
2016-04-30,5252.200195,5427.700195,5182.200195,5378.600098,5378.600098,0
2016-05-31,5378.600098,5392.500000,5051.000000,5233.399902,5233.399902,0
2016-06-30,5233.399902,5570.399902,5148.700195,5562.299805,5562.299805,0
2016-07-31,5562.399902,5611.200195,5412.600098,5433.000000,5433.000000,0
2016-08-31,5433.000000,5473.299805,5192.200195,5435.899902,5435.899902,0
2016-09-30,5435.899902,5498.000000,5261.399902,5317.700195,5317.700195,0
2016-10-31,5317.700195,5520.899902,5052.100098,5440.500000,5440.500000,0
2016-11-30,5440.500000,5699.100098,5383.799805,5665.799805,5665.799805,0
2016-12-31,5667.399902,5827.500000,5604.299805,5620.899902,5620.899902,0
2017-01-31,5620.899902,5833.200195,5582.700195,5712.200195,5712.200195,0
2017-02-28,5712.200195,5901.500000,5675.000000,5864.899902,5864.899902,0
2017-03-31,5864.899902,5950.100098,5790.600098,5924.100098,5924.100098,0
2017-04-30,5924.100098,5956.500000,5679.799805,5724.600098,5724.600098,0
2017-05-31,5724.600098,5836.399902,5629.799805,5721.500000,5721.500000,0
2017-06-30,5721.500000,5799.600098,5653.299805,5720.600098,5720.600098,0
2017-07-31,5720.600098,5806.299805,5645.799805,5714.500000,5714.500000,0
2017-08-31,5714.500000,5777.700195,5639.399902,5681.600098,5681.600098,0
2017-09-30,5681.600098,5938.100098,5650.899902,5909.000000,5909.000000,0
2017-10-31,5909.000000,6052.100098,5909.000000,5969.899902,5969.899902,78246200
2017-11-30,5969.899902,6092.799805,5938.700195,6065.100098,6065.100098,40364600
2017-12-31,6065.100098,6150.000000,5991.899902,6037.700195,6037.700195,0
2018-01-31,6037.700195,6121.399902,5786.799805,6016.000000,6016.000000,7891300
2018-02-28,6016.000000,6026.100098,5895.000000,5935.299805,5935.299805,34463900
