Date,Open,High,Low,Close,Adj Close,Volume
2013-02-28,null,null,null,null,null,null
2013-03-31,15.197400,15.360300,14.536200,15.207000,11.386421,28059766
2013-04-30,15.101500,15.111100,13.491700,13.798400,10.331717,43870245
2013-05-31,13.846300,14.105000,13.271300,13.875000,10.389071,34898734
2013-06-30,13.702500,14.689500,13.386300,13.942100,10.439313,29615309
2013-07-31,14.057100,15.111100,13.520500,15.092000,11.300314,35908737
2013-08-31,14.890700,15.321900,14.421200,14.775800,11.063556,41698296
2013-09-30,14.670300,15.293200,14.210400,14.986600,11.583220,37396299
2013-10-31,14.890700,14.948200,14.335000,14.382900,11.116619,25932829
2013-11-30,14.382900,14.469100,13.664200,14.402000,11.131380,26770236
2013-12-31,14.402000,14.632000,14.095400,14.564900,11.257286,18065501
2014-01-31,14.517000,15.475300,14.152900,14.996100,11.590564,35331675
2014-02-28,14.641600,14.842800,14.229600,14.545800,11.242523,32876151
2014-03-31,14.469100,15.274000,14.210400,15.111100,12.023051,23460818
2014-04-30,15.168600,15.590200,14.747000,14.756600,11.740995,26991008
2014-05-31,14.814100,15.044100,14.382900,14.833200,11.801943,35656657
2014-06-30,14.756600,15.250100,13.903800,14.162500,11.268304,43269729
2014-07-31,14.085800,14.550000,13.817500,14.100000,11.218576,35840087
2014-08-31,14.100000,14.170000,13.355000,13.540000,10.773016,55360943
2014-09-30,13.440000,13.955000,13.320000,13.590000,11.186277,39241329
2014-10-31,13.610000,13.900000,13.000000,13.110000,10.791177,32069425
2014-11-30,13.100000,13.730000,12.550000,13.360000,10.996958,35376046
2014-12-31,13.360000,14.400000,13.120000,14.200000,11.688384,28231973
2015-01-31,14.200000,15.550000,14.160000,15.050000,12.388041,41764658
2015-02-28,14.930000,15.370000,14.350000,15.200000,12.868234,34964290
2015-03-31,15.220000,15.580000,14.830000,15.190000,12.859768,26894652
2015-04-30,15.260000,16.660000,14.550000,16.230000,13.740226,40121836
2015-05-31,16.230000,16.700001,15.350000,15.550000,13.164541,42296839
2015-06-30,15.500000,16.690001,15.320000,16.680000,14.121194,40339075
2015-07-31,16.650000,17.250000,15.540000,16.889999,14.298976,49855752
2015-08-31,16.740000,16.900000,15.240000,15.970000,13.931720,45039089
2015-09-30,16.120001,16.860001,15.620000,16.730000,14.594719,35930341
2015-10-31,16.780001,17.049999,15.900000,16.549999,14.437692,39248185
2015-11-30,16.469999,18.150000,16.370001,18.080000,15.772417,40895580
2015-12-31,18.080000,18.740000,17.280001,18.600000,16.226046,40548323
2016-01-31,18.799999,19.650000,18.000000,18.340000,15.999233,51223668
2016-02-29,18.299999,18.670000,17.980000,18.250000,16.320330,74656343
2016-03-31,18.309999,18.629999,17.920000,18.290001,16.356100,26415759
2016-04-30,18.200001,19.209999,18.200001,18.590000,16.624380,45348160
2016-05-31,18.559999,19.290001,18.129999,19.290001,17.250364,42358243
2016-06-30,19.180000,20.639999,19.030001,20.580000,18.403965,51314280
2016-07-31,20.549999,20.950001,18.510000,18.549999,16.588608,48616239
2016-08-31,18.520000,19.440001,16.510000,19.049999,17.505116,62165689
2016-09-30,19.200001,19.549999,18.600000,19.180000,17.624577,38847754
2016-10-31,19.030001,21.020000,18.930000,20.980000,19.278601,49068712
2016-11-30,20.969999,22.280001,20.450001,22.090000,20.298584,34022380
2016-12-31,22.090000,22.950001,21.780001,22.600000,20.767225,28276087
2017-01-31,22.660000,24.950001,22.580000,24.120001,22.163961,45742279
2017-02-28,24.100000,26.639999,23.975000,26.370001,24.789511,50471989
2017-03-31,26.320000,28.469999,25.900000,26.760000,25.156136,43259925
2017-04-30,26.700001,27.775000,26.350000,26.350000,24.770710,50099261
2017-05-31,26.400000,27.030001,24.750000,25.500000,23.971653,58010527
2017-06-30,25.410000,25.459999,23.930000,24.100000,22.655563,29680558
2017-07-31,24.049999,26.139999,22.639999,23.990000,22.552156,53139008
2017-08-31,24.059999,25.030001,22.629999,23.370001,22.616863,40733315
2017-09-30,23.360001,25.639999,22.600000,25.270000,24.455631,36730935
2017-10-31,25.299999,25.770000,23.809999,24.990000,24.184654,39037027
2017-11-30,25.010000,26.520000,24.059999,24.360001,23.574959,31974852
2017-12-31,24.360001,24.690001,23.270000,23.440001,22.684607,36543172
2018-01-31,23.570000,23.840000,20.840000,21.860001,21.155525,52491942
2018-02-28,21.740000,22.145000,21.010000,21.770000,21.770000,23404529
